類別：所有類別

天,台聚: (台灣)
2023-10-04,67
2023-10-05,31
2023-10-06,67
2023-10-07,43
2023-10-08,18
2023-10-09,0
2023-10-10,28
2023-10-11,47
2023-10-12,46
2023-10-13,30
2023-10-14,44
2023-10-15,28
2023-10-16,24
2023-10-17,26
2023-10-18,55
2023-10-19,62
2023-10-20,35
2023-10-21,15
2023-10-22,0
2023-10-23,33
2023-10-24,69
2023-10-25,33
2023-10-26,19
2023-10-27,100
2023-10-28,0
2023-10-29,35
2023-10-30,0
2023-10-31,55
