類別：所有類別

天,建漢: (台灣)
2023-10-05,44
2023-10-06,97
2023-10-07,0
2023-10-08,0
2023-10-09,45
2023-10-10,97
2023-10-11,64
2023-10-12,47
2023-10-13,75
2023-10-14,0
2023-10-15,29
2023-10-16,82
2023-10-17,70
2023-10-18,80
2023-10-19,40
2023-10-20,69
2023-10-21,51
2023-10-22,72
2023-10-23,78
2023-10-24,100
2023-10-25,36
2023-10-26,80
2023-10-27,0
2023-10-28,28
2023-10-29,37
2023-10-30,0
2023-10-31,86
2023-11-01,0
