類別：所有類別

天,日揚: (台灣)
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,38
2023-10-11,66
2023-10-12,50
2023-10-13,47
2023-10-14,100
2023-10-15,38
2023-10-16,0
2023-10-17,0
2023-10-18,34
2023-10-19,50
2023-10-20,0
2023-10-21,81
2023-10-22,0
2023-10-23,83
2023-10-24,85
2023-10-25,0
2023-10-26,87
2023-10-27,78
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,48
2023-11-01,0
2023-11-02,0
2023-11-03,87
