類別：所有類別

天,漢唐: (台灣)
2023-10-05,53
2023-10-06,78
2023-10-07,33
2023-10-08,0
2023-10-09,26
2023-10-10,15
2023-10-11,66
2023-10-12,60
2023-10-13,53
2023-10-14,24
2023-10-15,0
2023-10-16,0
2023-10-17,63
2023-10-18,70
2023-10-19,46
2023-10-20,45
2023-10-21,39
2023-10-22,0
2023-10-23,15
2023-10-24,17
2023-10-25,56
2023-10-26,100
2023-10-27,46
2023-10-28,45
2023-10-29,53
2023-10-30,0
2023-10-31,52
2023-11-01,43
