類別：所有類別

天,東和: (台灣)
2023-10-04,34
2023-10-05,80
2023-10-06,65
2023-10-07,50
2023-10-08,48
2023-10-09,0
2023-10-10,50
2023-10-11,100
2023-10-12,63
2023-10-13,57
2023-10-14,29
2023-10-15,0
2023-10-16,59
2023-10-17,26
2023-10-18,80
2023-10-19,69
2023-10-20,70
2023-10-21,56
2023-10-22,76
2023-10-23,63
2023-10-24,65
2023-10-25,43
2023-10-26,76
2023-10-27,62
2023-10-28,40
2023-10-29,56
2023-10-30,0
2023-10-31,84
