類別：所有類別

天,海光: (台灣)
2023-10-05,100
2023-10-06,0
2023-10-07,0
2023-10-08,0
2023-10-09,64
2023-10-10,0
2023-10-11,0
2023-10-12,44
2023-10-13,23
2023-10-14,31
2023-10-15,27
2023-10-16,0
2023-10-17,34
2023-10-18,0
2023-10-19,0
2023-10-20,61
2023-10-21,37
2023-10-22,56
2023-10-23,44
2023-10-24,0
2023-10-25,0
2023-10-26,0
2023-10-27,0
2023-10-28,34
2023-10-29,51
2023-10-30,0
2023-10-31,71
2023-11-01,23
