類別：所有類別

天,正隆: (台灣)
2023-10-05,47
2023-10-06,34
2023-10-07,0
2023-10-08,14
2023-10-09,18
2023-10-10,0
2023-10-11,73
2023-10-12,11
2023-10-13,52
2023-10-14,39
2023-10-15,0
2023-10-16,30
2023-10-17,73
2023-10-18,62
2023-10-19,46
2023-10-20,31
2023-10-21,54
2023-10-22,18
2023-10-23,50
2023-10-24,57
2023-10-25,51
2023-10-26,18
2023-10-27,0
2023-10-28,35
2023-10-29,43
2023-10-30,0
2023-10-31,67
2023-11-01,100
