類別：所有類別

天,新普: (台灣)
2023-10-07,38
2023-10-08,72
2023-10-09,78
2023-10-10,88
2023-10-11,71
2023-10-12,82
2023-10-13,53
2023-10-14,46
2023-10-15,47
2023-10-16,67
2023-10-17,98
2023-10-18,64
2023-10-19,66
2023-10-20,76
2023-10-21,41
2023-10-22,35
2023-10-23,75
2023-10-24,100
2023-10-25,61
2023-10-26,55
2023-10-27,92
2023-10-28,37
2023-10-29,29
2023-10-30,0
2023-10-31,77
2023-11-01,58
2023-11-02,68
2023-11-03,55
