類別：所有類別

天,豆府: (台灣)
2023-10-05,68
2023-10-06,0
2023-10-07,99
2023-10-08,52
2023-10-09,36
2023-10-10,36
2023-10-11,0
2023-10-12,41
2023-10-13,29
2023-10-14,86
2023-10-15,0
2023-10-16,45
2023-10-17,39
2023-10-18,39
2023-10-19,27
2023-10-20,38
2023-10-21,35
2023-10-22,62
2023-10-23,48
2023-10-24,100
2023-10-25,0
2023-10-26,0
2023-10-27,0
2023-10-28,69
2023-10-29,32
2023-10-30,0
2023-10-31,42
2023-11-01,44
