類別：所有類別

天,台新金: (台灣)
2023-10-05,58
2023-10-06,100
2023-10-07,11
2023-10-08,29
2023-10-09,16
2023-10-10,31
2023-10-11,85
2023-10-12,93
2023-10-13,74
2023-10-14,27
2023-10-15,11
2023-10-16,72
2023-10-17,46
2023-10-18,74
2023-10-19,83
2023-10-20,81
2023-10-21,29
2023-10-22,63
2023-10-23,56
2023-10-24,90
2023-10-25,72
2023-10-26,82
2023-10-27,59
2023-10-28,9
2023-10-29,21
2023-10-30,0
2023-10-31,59
2023-11-01,73
