類別：所有類別

天,華南金: (台灣)
2023-10-05,47
2023-10-06,100
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,15
2023-10-11,47
2023-10-12,77
2023-10-13,33
2023-10-14,0
2023-10-15,0
2023-10-16,83
2023-10-17,65
2023-10-18,50
2023-10-19,47
2023-10-20,61
2023-10-21,20
2023-10-22,25
2023-10-23,61
2023-10-24,50
2023-10-25,77
2023-10-26,28
2023-10-27,46
2023-10-28,13
2023-10-29,0
2023-10-30,0
2023-10-31,73
2023-11-01,74
