類別：所有類別

天,資通: (台灣)
2023-10-05,46
2023-10-06,85
2023-10-07,19
2023-10-08,27
2023-10-09,20
2023-10-10,25
2023-10-11,93
2023-10-12,81
2023-10-13,76
2023-10-14,20
2023-10-15,40
2023-10-16,55
2023-10-17,70
2023-10-18,74
2023-10-19,62
2023-10-20,73
2023-10-21,27
2023-10-22,30
2023-10-23,93
2023-10-24,73
2023-10-25,59
2023-10-26,100
2023-10-27,62
2023-10-28,12
2023-10-29,23
2023-10-30,0
2023-10-31,55
2023-11-01,90
