類別：所有類別

天,生泰: (台灣)
2023-10-05,0
2023-10-06,30
2023-10-07,17
2023-10-08,21
2023-10-09,16
2023-10-10,0
2023-10-11,23
2023-10-12,49
2023-10-13,31
2023-10-14,0
2023-10-15,0
2023-10-16,0
2023-10-17,52
2023-10-18,58
2023-10-19,18
2023-10-20,38
2023-10-21,19
2023-10-22,29
2023-10-23,16
2023-10-24,35
2023-10-25,0
2023-10-26,17
2023-10-27,26
2023-10-28,17
2023-10-29,100
2023-10-30,0
2023-10-31,16
2023-11-01,30
