類別：所有類別

天,全友: (台灣)
2023-10-05,0
2023-10-06,0
2023-10-07,62
2023-10-08,20
2023-10-09,48
2023-10-10,62
2023-10-11,54
2023-10-12,57
2023-10-13,46
2023-10-14,58
2023-10-15,0
2023-10-16,76
2023-10-17,28
2023-10-18,32
2023-10-19,0
2023-10-20,50
2023-10-21,32
2023-10-22,96
2023-10-23,32
2023-10-24,100
2023-10-25,77
2023-10-26,41
2023-10-27,56
2023-10-28,54
2023-10-29,49
2023-10-30,0
2023-10-31,82
2023-11-01,47
