類別：所有類別

天,昇陽: (台灣)
2023-10-06,34
2023-10-07,11
2023-10-08,21
2023-10-09,13
2023-10-10,26
2023-10-11,73
2023-10-12,100
2023-10-13,47
2023-10-14,19
2023-10-15,30
2023-10-16,28
2023-10-17,28
2023-10-18,16
2023-10-19,44
2023-10-20,11
2023-10-21,48
2023-10-22,62
2023-10-23,38
2023-10-24,44
2023-10-25,23
2023-10-26,44
2023-10-27,64
2023-10-28,35
2023-10-29,40
2023-10-30,0
2023-10-31,27
2023-11-01,18
2023-11-02,65
