類別：所有類別

天,陽明: (台灣)
2023-10-05,76
2023-10-06,82
2023-10-07,62
2023-10-08,76
2023-10-09,69
2023-10-10,67
2023-10-11,81
2023-10-12,88
2023-10-13,89
2023-10-14,69
2023-10-15,70
2023-10-16,94
2023-10-17,94
2023-10-18,91
2023-10-19,97
2023-10-20,89
2023-10-21,72
2023-10-22,76
2023-10-23,98
2023-10-24,88
2023-10-25,92
2023-10-26,78
2023-10-27,100
2023-10-28,71
2023-10-29,66
2023-10-30,0
2023-10-31,84
2023-11-01,84
