類別：所有類別

天,同欣電: (台灣)
2023-10-07,0
2023-10-08,0
2023-10-09,44
2023-10-10,0
2023-10-11,0
2023-10-12,70
2023-10-13,51
2023-10-14,0
2023-10-15,0
2023-10-16,45
2023-10-17,0
2023-10-18,88
2023-10-19,87
2023-10-20,61
2023-10-21,0
2023-10-22,37
2023-10-23,75
2023-10-24,31
2023-10-25,48
2023-10-26,94
2023-10-27,38
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,100
2023-11-01,0
2023-11-02,31
2023-11-03,55
