類別：所有類別

天,聯穎: (台灣)
2023-10-06,41
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,30
2023-10-12,0
2023-10-13,24
2023-10-14,84
2023-10-15,27
2023-10-16,43
2023-10-17,64
2023-10-18,53
2023-10-19,64
2023-10-20,61
2023-10-21,0
2023-10-22,0
2023-10-23,24
2023-10-24,55
2023-10-25,98
2023-10-26,0
2023-10-27,54
2023-10-28,100
2023-10-29,0
2023-10-30,0
2023-10-31,62
2023-11-01,82
2023-11-02,25
