類別：所有類別

天,光鼎: (台灣)
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,42
2023-10-11,71
2023-10-12,24
2023-10-13,36
2023-10-14,0
2023-10-15,73
2023-10-16,47
2023-10-17,46
2023-10-18,23
2023-10-19,0
2023-10-20,68
2023-10-21,50
2023-10-22,0
2023-10-23,91
2023-10-24,0
2023-10-25,48
2023-10-26,44
2023-10-27,50
2023-10-28,36
2023-10-29,59
2023-10-30,0
2023-10-31,45
2023-11-01,33
2023-11-02,0
2023-11-03,100
