類別：所有類別

天,南寶: (台灣)
2023-10-06,59
2023-10-07,35
2023-10-08,52
2023-10-09,76
2023-10-10,33
2023-10-11,55
2023-10-12,78
2023-10-13,37
2023-10-14,19
2023-10-15,88
2023-10-16,78
2023-10-17,42
2023-10-18,63
2023-10-19,67
2023-10-20,76
2023-10-21,88
2023-10-22,56
2023-10-23,34
2023-10-24,100
2023-10-25,49
2023-10-26,66
2023-10-27,51
2023-10-28,39
2023-10-29,32
2023-10-30,0
2023-10-31,54
2023-11-01,31
2023-11-02,63
