類別：所有類別

天,台聯電: (台灣)
2023-10-06,90
2023-10-07,0
2023-10-08,0
2023-10-09,25
2023-10-10,0
2023-10-11,100
2023-10-12,69
2023-10-13,73
2023-10-14,15
2023-10-15,0
2023-10-16,75
2023-10-17,73
2023-10-18,89
2023-10-19,85
2023-10-20,61
2023-10-21,28
2023-10-22,0
2023-10-23,78
2023-10-24,64
2023-10-25,93
2023-10-26,74
2023-10-27,50
2023-10-28,25
2023-10-29,0
2023-10-30,0
2023-10-31,72
2023-11-01,93
2023-11-02,70
