類別：所有類別

天,家登: (台灣)
2023-10-06,75
2023-10-07,20
2023-10-08,36
2023-10-09,22
2023-10-10,0
2023-10-11,51
2023-10-12,100
2023-10-13,34
2023-10-14,37
2023-10-15,22
2023-10-16,42
2023-10-17,34
2023-10-18,46
2023-10-19,59
2023-10-20,60
2023-10-21,0
2023-10-22,0
2023-10-23,45
2023-10-24,38
2023-10-25,34
2023-10-26,49
2023-10-27,36
2023-10-28,0
2023-10-29,50
2023-10-30,0
2023-10-31,56
2023-11-01,63
2023-11-02,51
