類別：所有類別

天,宏觀: (台灣)
2023-10-07,0
2023-10-08,11
2023-10-09,0
2023-10-10,18
2023-10-11,43
2023-10-12,30
2023-10-13,21
2023-10-14,0
2023-10-15,27
2023-10-16,29
2023-10-17,46
2023-10-18,78
2023-10-19,100
2023-10-20,44
2023-10-21,26
2023-10-22,55
2023-10-23,16
2023-10-24,50
2023-10-25,9
2023-10-26,14
2023-10-27,11
2023-10-28,17
2023-10-29,21
2023-10-30,0
2023-10-31,21
2023-11-01,29
2023-11-02,85
2023-11-03,10
