類別：所有類別

天,東浦: (台灣)
2023-10-06,0
2023-10-07,0
2023-10-08,36
2023-10-09,0
2023-10-10,0
2023-10-11,0
2023-10-12,0
2023-10-13,0
2023-10-14,0
2023-10-15,0
2023-10-16,0
2023-10-17,100
2023-10-18,55
2023-10-19,46
2023-10-20,46
2023-10-21,0
2023-10-22,0
2023-10-23,0
2023-10-24,60
2023-10-25,0
2023-10-26,90
2023-10-27,41
2023-10-28,36
2023-10-29,88
2023-10-30,0
2023-10-31,76
2023-11-01,49
2023-11-02,88
