類別：所有類別

天,台達電: (台灣)
2023-10-05,48
2023-10-06,67
2023-10-07,31
2023-10-08,27
2023-10-09,16
2023-10-10,21
2023-10-11,60
2023-10-12,74
2023-10-13,47
2023-10-14,15
2023-10-15,13
2023-10-16,62
2023-10-17,68
2023-10-18,59
2023-10-19,57
2023-10-20,71
2023-10-21,27
2023-10-22,8
2023-10-23,65
2023-10-24,60
2023-10-25,87
2023-10-26,84
2023-10-27,76
2023-10-28,32
2023-10-29,35
2023-10-30,0
2023-10-31,80
2023-11-01,100
