類別：所有類別

天,東聯: (台灣)
2023-10-05,59
2023-10-06,65
2023-10-07,17
2023-10-08,44
2023-10-09,24
2023-10-10,16
2023-10-11,66
2023-10-12,35
2023-10-13,44
2023-10-14,0
2023-10-15,24
2023-10-16,67
2023-10-17,61
2023-10-18,56
2023-10-19,55
2023-10-20,73
2023-10-21,41
2023-10-22,71
2023-10-23,49
2023-10-24,85
2023-10-25,84
2023-10-26,49
2023-10-27,51
2023-10-28,19
2023-10-29,17
2023-10-30,0
2023-10-31,100
2023-11-01,84
