類別：所有類別

天,競國: (台灣)
2023-10-07,39
2023-10-08,0
2023-10-09,60
2023-10-10,0
2023-10-11,36
2023-10-12,100
2023-10-13,0
2023-10-14,80
2023-10-15,0
2023-10-16,0
2023-10-17,0
2023-10-18,0
2023-10-19,0
2023-10-20,0
2023-10-21,0
2023-10-22,0
2023-10-23,0
2023-10-24,37
2023-10-25,36
2023-10-26,0
2023-10-27,0
2023-10-28,0
2023-10-29,87
2023-10-30,0
2023-10-31,0
2023-11-01,91
2023-11-02,60
2023-11-03,0
