類別：所有類別

天,昇華: (台灣)
2023-10-06,0
2023-10-07,0
2023-10-08,79
2023-10-09,0
2023-10-10,35
2023-10-11,94
2023-10-12,47
2023-10-13,21
2023-10-14,0
2023-10-15,29
2023-10-16,34
2023-10-17,39
2023-10-18,56
2023-10-19,95
2023-10-20,100
2023-10-21,66
2023-10-22,0
2023-10-23,0
2023-10-24,55
2023-10-25,53
2023-10-26,0
2023-10-27,53
2023-10-28,20
2023-10-29,40
2023-10-30,0
2023-10-31,0
2023-11-01,53
2023-11-02,35
