類別：所有類別

天,兆豐金: (台灣)
2023-10-05,56
2023-10-06,61
2023-10-07,15
2023-10-08,16
2023-10-09,23
2023-10-10,13
2023-10-11,93
2023-10-12,82
2023-10-13,60
2023-10-14,0
2023-10-15,23
2023-10-16,73
2023-10-17,58
2023-10-18,50
2023-10-19,60
2023-10-20,54
2023-10-21,11
2023-10-22,33
2023-10-23,75
2023-10-24,93
2023-10-25,100
2023-10-26,78
2023-10-27,59
2023-10-28,20
2023-10-29,14
2023-10-30,0
2023-10-31,62
2023-11-01,73
