類別：所有類別

天,華邦電: (台灣)
2023-10-05,73
2023-10-06,60
2023-10-07,11
2023-10-08,9
2023-10-09,9
2023-10-10,20
2023-10-11,70
2023-10-12,67
2023-10-13,71
2023-10-14,13
2023-10-15,22
2023-10-16,100
2023-10-17,58
2023-10-18,52
2023-10-19,34
2023-10-20,50
2023-10-21,11
2023-10-22,5
2023-10-23,53
2023-10-24,41
2023-10-25,44
2023-10-26,50
2023-10-27,41
2023-10-28,13
2023-10-29,13
2023-10-30,0
2023-10-31,73
2023-11-01,56
