類別：所有類別

天,遠傳: (台灣)
2023-10-06,100
2023-10-07,87
2023-10-08,73
2023-10-09,77
2023-10-10,78
2023-10-11,90
2023-10-12,88
2023-10-13,86
2023-10-14,85
2023-10-15,79
2023-10-16,81
2023-10-17,74
2023-10-18,93
2023-10-19,78
2023-10-20,78
2023-10-21,80
2023-10-22,74
2023-10-23,80
2023-10-24,75
2023-10-25,69
2023-10-26,73
2023-10-27,74
2023-10-28,71
2023-10-29,65
2023-10-30,0
2023-10-31,80
2023-11-01,89
2023-11-02,86
