類別：所有類別

天,訊舟: (台灣)
2023-10-05,50
2023-10-06,58
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,65
2023-10-11,0
2023-10-12,0
2023-10-13,0
2023-10-14,0
2023-10-15,0
2023-10-16,100
2023-10-17,82
2023-10-18,45
2023-10-19,42
2023-10-20,44
2023-10-21,0
2023-10-22,0
2023-10-23,52
2023-10-24,55
2023-10-25,0
2023-10-26,88
2023-10-27,0
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,92
2023-11-01,0
