類別：所有類別

天,台南: (台灣)
2023-10-04,42
2023-10-05,40
2023-10-06,46
2023-10-07,50
2023-10-08,55
2023-10-09,53
2023-10-10,46
2023-10-11,47
2023-10-12,43
2023-10-13,43
2023-10-14,52
2023-10-15,46
2023-10-16,41
2023-10-17,43
2023-10-18,38
2023-10-19,35
2023-10-20,38
2023-10-21,45
2023-10-22,49
2023-10-23,40
2023-10-24,38
2023-10-25,40
2023-10-26,40
2023-10-27,45
2023-10-28,46
2023-10-29,49
2023-10-30,100
2023-10-31,39
