類別：所有類別

天,大成: (台灣)
2023-10-04,83
2023-10-05,70
2023-10-06,70
2023-10-07,59
2023-10-08,58
2023-10-09,82
2023-10-10,50
2023-10-11,97
2023-10-12,91
2023-10-13,81
2023-10-14,39
2023-10-15,59
2023-10-16,89
2023-10-17,100
2023-10-18,91
2023-10-19,79
2023-10-20,78
2023-10-21,59
2023-10-22,49
2023-10-23,63
2023-10-24,65
2023-10-25,76
2023-10-26,61
2023-10-27,71
2023-10-28,58
2023-10-29,51
2023-10-30,0
2023-10-31,75
