類別：所有類別

天,建通: (台灣)
2023-10-05,0
2023-10-06,51
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,34
2023-10-12,52
2023-10-13,67
2023-10-14,83
2023-10-15,48
2023-10-16,62
2023-10-17,33
2023-10-18,91
2023-10-19,53
2023-10-20,100
2023-10-21,53
2023-10-22,0
2023-10-23,50
2023-10-24,96
2023-10-25,41
2023-10-26,84
2023-10-27,69
2023-10-28,0
2023-10-29,44
2023-10-30,0
2023-10-31,52
2023-11-01,49
