類別：所有類別

天,永光: (台灣)
2023-10-05,29
2023-10-06,0
2023-10-07,0
2023-10-08,40
2023-10-09,88
2023-10-10,0
2023-10-11,31
2023-10-12,48
2023-10-13,34
2023-10-14,19
2023-10-15,44
2023-10-16,0
2023-10-17,58
2023-10-18,65
2023-10-19,34
2023-10-20,53
2023-10-21,0
2023-10-22,51
2023-10-23,0
2023-10-24,55
2023-10-25,57
2023-10-26,100
2023-10-27,46
2023-10-28,43
2023-10-29,0
2023-10-30,0
2023-10-31,46
2023-11-01,52
