類別：所有類別

天,大塚: (台灣)
2023-10-06,57
2023-10-07,15
2023-10-08,17
2023-10-09,67
2023-10-10,27
2023-10-11,19
2023-10-12,36
2023-10-13,18
2023-10-14,0
2023-10-15,45
2023-10-16,49
2023-10-17,100
2023-10-18,50
2023-10-19,22
2023-10-20,45
2023-10-21,0
2023-10-22,16
2023-10-23,54
2023-10-24,63
2023-10-25,29
2023-10-26,42
2023-10-27,35
2023-10-28,43
2023-10-29,18
2023-10-30,0
2023-10-31,48
2023-11-01,0
2023-11-02,0
