類別：所有類別

天,台勝科: (台灣)
2023-10-06,21
2023-10-07,0
2023-10-08,33
2023-10-09,24
2023-10-10,29
2023-10-11,0
2023-10-12,44
2023-10-13,41
2023-10-14,53
2023-10-15,36
2023-10-16,44
2023-10-17,21
2023-10-18,28
2023-10-19,44
2023-10-20,18
2023-10-21,0
2023-10-22,0
2023-10-23,29
2023-10-24,0
2023-10-25,0
2023-10-26,0
2023-10-27,100
2023-10-28,0
2023-10-29,20
2023-10-30,0
2023-10-31,30
2023-11-01,72
2023-11-02,0
