類別：所有類別

天,寶碩: (台灣)
2023-10-06,89
2023-10-07,0
2023-10-08,55
2023-10-09,72
2023-10-10,0
2023-10-11,81
2023-10-12,58
2023-10-13,47
2023-10-14,100
2023-10-15,0
2023-10-16,79
2023-10-17,0
2023-10-18,40
2023-10-19,52
2023-10-20,25
2023-10-21,0
2023-10-22,0
2023-10-23,74
2023-10-24,49
2023-10-25,38
2023-10-26,76
2023-10-27,0
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,25
2023-11-01,25
2023-11-02,43
