類別：所有類別

天,盛達: (台灣)
2023-10-05,60
2023-10-06,71
2023-10-07,0
2023-10-08,0
2023-10-09,27
2023-10-10,0
2023-10-11,28
2023-10-12,69
2023-10-13,48
2023-10-14,100
2023-10-15,0
2023-10-16,80
2023-10-17,60
2023-10-18,37
2023-10-19,91
2023-10-20,33
2023-10-21,0
2023-10-22,0
2023-10-23,49
2023-10-24,0
2023-10-25,49
2023-10-26,42
2023-10-27,46
2023-10-28,48
2023-10-29,0
2023-10-30,0
2023-10-31,31
2023-11-01,74
