類別：所有類別

天,中興電: (台灣)
2023-10-04,56
2023-10-05,78
2023-10-06,57
2023-10-07,8
2023-10-08,26
2023-10-09,18
2023-10-10,0
2023-10-11,100
2023-10-12,55
2023-10-13,47
2023-10-14,0
2023-10-15,13
2023-10-16,70
2023-10-17,66
2023-10-18,91
2023-10-19,86
2023-10-20,87
2023-10-21,12
2023-10-22,21
2023-10-23,89
2023-10-24,63
2023-10-25,80
2023-10-26,49
2023-10-27,72
2023-10-28,20
2023-10-29,0
2023-10-30,0
2023-10-31,89
