類別：所有類別

天,新鼎: (台灣)
2023-10-06,63
2023-10-07,65
2023-10-08,0
2023-10-09,92
2023-10-10,0
2023-10-11,65
2023-10-12,57
2023-10-13,72
2023-10-14,66
2023-10-15,38
2023-10-16,100
2023-10-17,72
2023-10-18,80
2023-10-19,75
2023-10-20,82
2023-10-21,82
2023-10-22,91
2023-10-23,30
2023-10-24,63
2023-10-25,39
2023-10-26,55
2023-10-27,78
2023-10-28,89
2023-10-29,93
2023-10-30,0
2023-10-31,71
2023-11-01,58
2023-11-02,18
