類別：所有類別

天,中福: (台灣)
2023-10-04,86
2023-10-05,90
2023-10-06,100
2023-10-07,66
2023-10-08,69
2023-10-09,89
2023-10-10,54
2023-10-11,84
2023-10-12,83
2023-10-13,87
2023-10-14,81
2023-10-15,74
2023-10-16,92
2023-10-17,73
2023-10-18,75
2023-10-19,81
2023-10-20,87
2023-10-21,81
2023-10-22,69
2023-10-23,91
2023-10-24,53
2023-10-25,74
2023-10-26,73
2023-10-27,99
2023-10-28,66
2023-10-29,47
2023-10-30,0
2023-10-31,80
