類別：所有類別

天,信大: (台灣)
2023-10-04,67
2023-10-05,79
2023-10-06,61
2023-10-07,71
2023-10-08,55
2023-10-09,24
2023-10-10,81
2023-10-11,100
2023-10-12,77
2023-10-13,100
2023-10-14,56
2023-10-15,74
2023-10-16,73
2023-10-17,89
2023-10-18,68
2023-10-19,34
2023-10-20,76
2023-10-21,84
2023-10-22,61
2023-10-23,59
2023-10-24,83
2023-10-25,86
2023-10-26,68
2023-10-27,64
2023-10-28,69
2023-10-29,71
2023-10-30,0
2023-10-31,64
