類別：所有類別

天,味王: (台灣)
2023-10-04,14
2023-10-05,25
2023-10-06,25
2023-10-07,23
2023-10-08,31
2023-10-09,41
2023-10-10,33
2023-10-11,21
2023-10-12,35
2023-10-13,19
2023-10-14,52
2023-10-15,18
2023-10-16,0
2023-10-17,34
2023-10-18,34
2023-10-19,53
2023-10-20,100
2023-10-21,0
2023-10-22,72
2023-10-23,17
2023-10-24,29
2023-10-25,38
2023-10-26,22
2023-10-27,14
2023-10-28,46
2023-10-29,24
2023-10-30,0
2023-10-31,17
