類別：所有類別

天,順發: (台灣)
2023-10-07,79
2023-10-08,56
2023-10-09,76
2023-10-10,82
2023-10-11,62
2023-10-12,67
2023-10-13,79
2023-10-14,72
2023-10-15,66
2023-10-16,63
2023-10-17,83
2023-10-18,78
2023-10-19,95
2023-10-20,88
2023-10-21,56
2023-10-22,62
2023-10-23,93
2023-10-24,78
2023-10-25,51
2023-10-26,65
2023-10-27,77
2023-10-28,73
2023-10-29,81
2023-10-30,0
2023-10-31,45
2023-11-01,78
2023-11-02,67
2023-11-03,100
