類別：所有類別

天,達欣工: (台灣)
2023-10-05,0
2023-10-06,20
2023-10-07,0
2023-10-08,0
2023-10-09,18
2023-10-10,41
2023-10-11,0
2023-10-12,0
2023-10-13,55
2023-10-14,46
2023-10-15,0
2023-10-16,0
2023-10-17,20
2023-10-18,33
2023-10-19,43
2023-10-20,50
2023-10-21,24
2023-10-22,0
2023-10-23,43
2023-10-24,54
2023-10-25,100
2023-10-26,36
2023-10-27,55
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,40
2023-11-01,0
