類別：所有類別

天,茂達: (台灣)
2023-10-07,21
2023-10-08,0
2023-10-09,0
2023-10-10,63
2023-10-11,63
2023-10-12,56
2023-10-13,100
2023-10-14,0
2023-10-15,38
2023-10-16,64
2023-10-17,74
2023-10-18,19
2023-10-19,63
2023-10-20,62
2023-10-21,29
2023-10-22,0
2023-10-23,64
2023-10-24,27
2023-10-25,43
2023-10-26,50
2023-10-27,67
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,57
2023-11-01,42
2023-11-02,69
2023-11-03,62
