類別：所有類別

天,正新: (台灣)
2023-10-05,64
2023-10-06,80
2023-10-07,18
2023-10-08,40
2023-10-09,35
2023-10-10,40
2023-10-11,100
2023-10-12,84
2023-10-13,49
2023-10-14,53
2023-10-15,29
2023-10-16,72
2023-10-17,59
2023-10-18,81
2023-10-19,97
2023-10-20,47
2023-10-21,29
2023-10-22,38
2023-10-23,57
2023-10-24,59
2023-10-25,70
2023-10-26,67
2023-10-27,55
2023-10-28,25
2023-10-29,56
2023-10-30,0
2023-10-31,52
2023-11-01,47
