類別：所有類別

天,亞矽: (台灣)
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,38
2023-10-11,83
2023-10-12,37
2023-10-13,66
2023-10-14,0
2023-10-15,0
2023-10-16,87
2023-10-17,99
2023-10-18,57
2023-10-19,57
2023-10-20,100
2023-10-21,0
2023-10-22,85
2023-10-23,39
2023-10-24,43
2023-10-25,58
2023-10-26,66
2023-10-27,68
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,34
2023-11-01,53
2023-11-02,30
2023-11-03,36
