類別：所有類別

天,聯邦銀: (台灣)
2023-10-05,0
2023-10-06,52
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,47
2023-10-11,0
2023-10-12,0
2023-10-13,0
2023-10-14,40
2023-10-15,0
2023-10-16,0
2023-10-17,48
2023-10-18,86
2023-10-19,39
2023-10-20,31
2023-10-21,25
2023-10-22,0
2023-10-23,0
2023-10-24,25
2023-10-25,0
2023-10-26,35
2023-10-27,0
2023-10-28,55
2023-10-29,100
2023-10-30,0
2023-10-31,43
2023-11-01,0
