類別：所有類別

天,燦坤: (台灣)
2023-10-05,77
2023-10-06,77
2023-10-07,100
2023-10-08,71
2023-10-09,90
2023-10-10,62
2023-10-11,75
2023-10-12,54
2023-10-13,69
2023-10-14,74
2023-10-15,75
2023-10-16,64
2023-10-17,64
2023-10-18,73
2023-10-19,66
2023-10-20,73
2023-10-21,99
2023-10-22,85
2023-10-23,58
2023-10-24,68
2023-10-25,72
2023-10-26,59
2023-10-27,65
2023-10-28,71
2023-10-29,82
2023-10-30,0
2023-10-31,56
2023-11-01,68
