類別：所有類別

天,基亞: (台灣)
2023-10-05,39
2023-10-06,68
2023-10-07,36
2023-10-08,29
2023-10-09,38
2023-10-10,41
2023-10-11,100
2023-10-12,32
2023-10-13,0
2023-10-14,41
2023-10-15,30
2023-10-16,62
2023-10-17,46
2023-10-18,37
2023-10-19,38
2023-10-20,38
2023-10-21,36
2023-10-22,48
2023-10-23,51
2023-10-24,42
2023-10-25,70
2023-10-26,40
2023-10-27,81
2023-10-28,44
2023-10-29,81
2023-10-30,0
2023-10-31,85
2023-11-01,56
