類別：所有類別

天,合庫: (台灣)
2023-10-07,36
2023-10-08,28
2023-10-09,28
2023-10-10,36
2023-10-11,90
2023-10-12,87
2023-10-13,92
2023-10-14,42
2023-10-15,41
2023-10-16,83
2023-10-17,76
2023-10-18,80
2023-10-19,75
2023-10-20,75
2023-10-21,26
2023-10-22,28
2023-10-23,78
2023-10-24,84
2023-10-25,83
2023-10-26,80
2023-10-27,64
2023-10-28,38
2023-10-29,33
2023-10-30,0
2023-10-31,100
2023-11-01,80
2023-11-02,84
2023-11-03,80
