類別：所有類別

天,東和鋼鐵: (台灣)
2023-10-05,66
2023-10-06,32
2023-10-07,0
2023-10-08,23
2023-10-09,42
2023-10-10,0
2023-10-11,73
2023-10-12,71
2023-10-13,0
2023-10-14,0
2023-10-15,30
2023-10-16,54
2023-10-17,85
2023-10-18,100
2023-10-19,30
2023-10-20,36
2023-10-21,42
2023-10-22,26
2023-10-23,36
2023-10-24,0
2023-10-25,48
2023-10-26,42
2023-10-27,58
2023-10-28,0
2023-10-29,34
2023-10-30,0
2023-10-31,27
2023-11-01,47
