類別：所有類別

天,佰鴻: (台灣)
2023-10-05,0
2023-10-06,38
2023-10-07,47
2023-10-08,100
2023-10-09,0
2023-10-10,78
2023-10-11,49
2023-10-12,87
2023-10-13,37
2023-10-14,46
2023-10-15,58
2023-10-16,50
2023-10-17,62
2023-10-18,26
2023-10-19,70
2023-10-20,0
2023-10-21,0
2023-10-22,41
2023-10-23,0
2023-10-24,0
2023-10-25,0
2023-10-26,0
2023-10-27,28
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,39
2023-11-01,27
