類別：所有類別

天,興富發: (台灣)
2023-10-05,69
2023-10-06,62
2023-10-07,12
2023-10-08,73
2023-10-09,27
2023-10-10,77
2023-10-11,98
2023-10-12,75
2023-10-13,94
2023-10-14,59
2023-10-15,25
2023-10-16,100
2023-10-17,96
2023-10-18,70
2023-10-19,87
2023-10-20,97
2023-10-21,0
2023-10-22,72
2023-10-23,79
2023-10-24,37
2023-10-25,76
2023-10-26,88
2023-10-27,54
2023-10-28,68
2023-10-29,62
2023-10-30,0
2023-10-31,97
2023-11-01,87
