類別：所有類別

天,建達: (台灣)
2023-10-07,21
2023-10-08,0
2023-10-09,34
2023-10-10,27
2023-10-11,82
2023-10-12,60
2023-10-13,58
2023-10-14,25
2023-10-15,39
2023-10-16,32
2023-10-17,86
2023-10-18,73
2023-10-19,89
2023-10-20,68
2023-10-21,0
2023-10-22,0
2023-10-23,80
2023-10-24,45
2023-10-25,100
2023-10-26,41
2023-10-27,53
2023-10-28,0
2023-10-29,49
2023-10-30,0
2023-10-31,61
2023-11-01,59
2023-11-02,41
2023-11-03,51
