類別：所有類別

天,全台: (台灣)
2023-10-05,97
2023-10-06,100
2023-10-07,81
2023-10-08,61
2023-10-09,70
2023-10-10,94
2023-10-11,61
2023-10-12,84
2023-10-13,61
2023-10-14,64
2023-10-15,68
2023-10-16,70
2023-10-17,78
2023-10-18,64
2023-10-19,74
2023-10-20,74
2023-10-21,58
2023-10-22,53
2023-10-23,76
2023-10-24,71
2023-10-25,50
2023-10-26,81
2023-10-27,79
2023-10-28,61
2023-10-29,87
2023-10-30,0
2023-10-31,78
2023-11-01,57
