類別：所有類別

天,聯強: (台灣)
2023-10-05,53
2023-10-06,26
2023-10-07,26
2023-10-08,0
2023-10-09,33
2023-10-10,20
2023-10-11,80
2023-10-12,63
2023-10-13,59
2023-10-14,28
2023-10-15,0
2023-10-16,88
2023-10-17,40
2023-10-18,15
2023-10-19,89
2023-10-20,78
2023-10-21,74
2023-10-22,13
2023-10-23,10
2023-10-24,62
2023-10-25,100
2023-10-26,19
2023-10-27,43
2023-10-28,15
2023-10-29,0
2023-10-30,0
2023-10-31,26
2023-11-01,50
