類別：所有類別

天,全國電: (台灣)
2023-10-07,20
2023-10-08,30
2023-10-09,19
2023-10-10,0
2023-10-11,59
2023-10-12,0
2023-10-13,100
2023-10-14,30
2023-10-15,0
2023-10-16,33
2023-10-17,19
2023-10-18,0
2023-10-19,58
2023-10-20,0
2023-10-21,44
2023-10-22,0
2023-10-23,16
2023-10-24,0
2023-10-25,25
2023-10-26,38
2023-10-27,0
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,49
2023-11-01,25
2023-11-02,24
2023-11-03,73
