類別：所有類別

天,士電: (台灣)
2023-10-04,65
2023-10-05,69
2023-10-06,48
2023-10-07,0
2023-10-08,26
2023-10-09,36
2023-10-10,31
2023-10-11,98
2023-10-12,0
2023-10-13,55
2023-10-14,27
2023-10-15,0
2023-10-16,33
2023-10-17,80
2023-10-18,95
2023-10-19,47
2023-10-20,73
2023-10-21,47
2023-10-22,19
2023-10-23,88
2023-10-24,69
2023-10-25,100
2023-10-26,40
2023-10-27,91
2023-10-28,0
2023-10-29,28
2023-10-30,0
2023-10-31,33
