類別：所有類別

天,台揚: (台灣)
2023-10-05,0
2023-10-06,0
2023-10-07,16
2023-10-08,0
2023-10-09,22
2023-10-10,0
2023-10-11,58
2023-10-12,68
2023-10-13,35
2023-10-14,24
2023-10-15,45
2023-10-16,64
2023-10-17,92
2023-10-18,91
2023-10-19,0
2023-10-20,0
2023-10-21,0
2023-10-22,0
2023-10-23,29
2023-10-24,100
2023-10-25,49
2023-10-26,0
2023-10-27,34
2023-10-28,22
2023-10-29,0
2023-10-30,0
2023-10-31,18
2023-11-01,39
