類別：所有類別

天,技嘉: (台灣)
2023-10-05,1
2023-10-06,2
2023-10-07,1
2023-10-08,1
2023-10-09,<1
2023-10-10,1
2023-10-11,3
2023-10-12,2
2023-10-13,2
2023-10-14,1
2023-10-15,1
2023-10-16,2
2023-10-17,2
2023-10-18,2
2023-10-19,2
2023-10-20,1
2023-10-21,1
2023-10-22,1
2023-10-23,2
2023-10-24,1
2023-10-25,2
2023-10-26,2
2023-10-27,1
2023-10-28,1
2023-10-29,1
2023-10-30,100
2023-10-31,2
2023-11-01,2
